Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
Mercy Corps Europe,mce,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Millennium Challenge Corporation,millenniumchallenge,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Mission Øst,missioneast,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Motivation,motivation,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Mott MacDonald Limited,mml,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Musalaha Ministry of Reconciliation,mmr_admin2,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Médecins Sans Vacances,msv,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
"Namati, Inc",namati_inc,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Nathan Associates London Ltd.,nathan,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Netherlands Commission for Environmental Assessment,ncea,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Norwegian Refugee Council,nrc,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Orbis Africa,orbis_africa,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Orbis Charitable Trust,orbis_uk,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Orbis Ethiopia,orbis_ethiopia,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Orbis International,orbis_international,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Oxfam America,oxfamus,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
Oxfam IBIS,ibis_denmark,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
PATH,_path_,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
PAX,pax,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
PHASE Worldwide,phase_worldwide,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Palladium International Ltd (UK),palladium,0,0,1,0,0,0,0,0,0,0,1,0,Six-Monthly
People in Need,pin,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Plan International Netherlands,plannlno,0,1,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Plan International UK,plan_uk,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Practical Action,pa,0,0,0,1,0,0,0,0,0,0,1,0,Six-Monthly
Protos,protos,0,3,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Publish What You Fund,pwyf,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
Pump Aid,pumpaid,1,0,0,0,0,0,0,0,0,0,1,0,Six-Monthly
